일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2026/06/12","322500","23500","7.86","326000","339000","320000","31006148","10243164332536","1885424851080000","5846278608"
"2026/06/11","299000","-3500","-1.16","290500","306500","287500","31420307","9359984196250","1748037303792000","5846278608"
"2026/06/10","302500","-19500","-6.06","311000","314500","295250","27050362","8222479219022","1768499278920000","5846278608"
"2026/06/09","322000","26500","8.97","310000","324000","300000","30124249","9419668803569","1882501711776000","5846278608"
"2026/06/08","295500","-33500","-10.18","293000","315500","292500","38929682","11802483835807","1727575328664000","5846278608"
"2026/06/05","329000","-22500","-6.40","333500","343000","325000","33725012","11191087320641","1923425662032000","5846278608"
"2026/06/04","351500","-9000","-2.50","349000","366000","348000","34771037","12341958993806","2054966930712000","5846278608"
"2026/06/02","360500","11500","3.30","360500","370000","342000","44720282","15945279373744","2107583438184000","5846278608"
"2026/06/01","349000","32000","10.09","319500","354500","319500","45052488","15359749127061","2040351234192000","5846278608"
"2026/05/29","317000","17500","5.84","309500","319000","305500","37241537","11699639541368","1853270318736000","5846278608"
"2026/05/28","299500","-7500","-2.44","305000","306500","287500","30195334","9008512632780","1750960443096000","5846278608"
"2026/05/27","307000","8000","2.68","321500","323000","306000","33916688","10730431777324","1794807532656000","5846278608"
"2026/05/26","299000","6500","2.22","298000","302000","297500","23441371","7028907724698","1748037303792000","5846278608"
"2026/05/22","292500","-7000","-2.34","300000","300500","292000","18395274","5415999876319","1710036492840000","5846278608"
"2026/05/21","299500","23500","8.51","291000","299500","287000","36168689","10669803962580","1750960443096000","5846278608"
"2026/05/20","276000","500","0.18","278000","282500","263500","35662077","9744232201916","1613572895808000","5846278608"
"2026/05/19","275500","-5500","-1.96","274000","281500","266000","30767569","8425000673138","1610649756504000","5846278608"
"2026/05/18","281000","10500","3.88","269500","288500","262000","33555214","9319457366471","1642804288848000","5846278608"
"2026/05/15","270500","-25500","-8.61","291000","296500","266000","38075487","10667342314779","1581418363464000","5846278608"
"2026/05/14","296000","12000","4.23","282000","299500","282000","39314752","11532240252620","1730498467968000","5846278608"
"2026/05/13","284000","5000","1.79","264000","285500","262000","35540134","9797838529400","1660343124672000","5846278608"
"2026/05/12","279000","-6500","-2.28","290000","291500","266000","41211149","11516481508515","1631111731632000","5846278608"
"2026/05/11","285500","17000","6.33","284500","288500","280000","36031094","10278092379571","1669112542584000","5846278608"
"2026/05/08","268500","-3000","-1.10","260000","270000","260000","25875880","6856898737478","1569725806248000","5846278608"
"2026/05/07","271500","5500","2.07","272000","277000","260000","41404687","11101719159250","1587264642072000","5846278608"
"2026/05/06","266000","33500","14.41","254000","270000","251000","53097996","13873583841584","1555110109728000","5846278608"
"2026/05/04","232500","12000","5.44","228000","232500","224000","32920816","7534835308220","1359259776360000","5846278608"
"2026/04/30","220500","-5500","-2.43","229000","230000","220500","22161975","4984706020346","1289104433064000","5846278608"
"2026/04/29","226000","4000","1.80","219500","228000","218500","20363756","4544913518216","1321258965408000","5846278608"
"2026/04/28","222000","-2500","-1.11","224000","226000","221500","18444490","4114489907013","1297873850976000","5846278608"
"2026/04/27","224500","5000","2.28","220000","226000","218500","22870374","5112167489250","1312489547496000","5846278608"
"2026/04/24","219500","-5000","-2.23","224000","225000","216500","19626666","4314144436734","1283258154456000","5846278608"
"2026/04/23","224500","7000","3.22","223000","229500","216000","34525485","7739982934106","1312489547496000","5846278608"
"2026/04/22","217500","-1500","-0.68","218500","222500","215500","16823480","3668380491500","1271565597240000","5846278608"
"2026/04/21","219000","4500","2.10","218000","220000","216000","16752132","3656410642186","1280335015152000","5846278608"
"2026/04/20","214500","-1500","-0.69","214500","219000","213000","17107741","3694826177250","1254026761416000","5846278608"
"2026/04/17","216000","-1500","-0.69","217000","218000","215000","18079322","3913720108000","1262796179328000","5846278608"
"2026/04/16","217500","6500","3.08","212000","218000","210500","21499788","4636535996750","1271565597240000","5846278608"
"2026/04/15","211000","4500","2.18","215000","215500","210000","24092884","5145052576751","1233564786288000","5846278608"
"2026/04/14","206500","5500","2.74","208000","210000","205500","23672078","4923089307450","1207256532552000","5846278608"
"2026/04/13","201000","-5000","-2.43","198200","203000","198200","19603415","3939228226208","1189847222322000","5919637922"
"2026/04/10","206000","2000","0.98","208500","211000","205500","18244459","3793988051000","1219445411932000","5919637922"
"2026/04/09","204000","-6500","-3.09","207000","207500","202000","42320839","8664954406350","1207606136088000","5919637922"
"2026/04/08","210500","14000","7.12","214000","214500","207500","35890973","7567915158059","1246083782581000","5919637922"
